S.no,Question,Answer
,,"No, the CSC Shubhlabh Plan does not offer any liquidity during the first five years. You cannot withdraw or surrender your investment"
1,Can I withdraw money from the CSC Shubhlabh Plan within the first five years?,completely or partially during this period.
2,What is the IndiaFirst CSC Shubhlabh Plan?,It is a low premium insurance CSC Shubhlabh Plan that helps you build savings while providing life cover.
3,How does this CSC Shubhlabh Plan help with saving for the future ?,It helps you build a corpus through regular interest additions and ensures you are protected against life's unexpected turns.
4,What is the minimum floor rate guaranteed by the CSC Shubhlabh Plan?,The CSC Shubhlabh Plan guarantees a minimum floor rate of 1.0% per annum on the account value during the CSC Shubhlabh Plan term.
5,What modes of premium payment are available in CSC Shubhlabh Plan?,"You can pay your premium monthly, half-yearly, or yearly."
6,How long do I need to pay premiums for this CSC Shubhlabh Plan?,You can choose to pay premiums for either 10 or 15 years.
7,What happens if the life assured passes away during the CSC Shubhlabh Plan term?,A lump sum death benefit is paid to the nominee.
8,Can I enroll in this CSC Shubhlabh Plan easily?,"Yes, you can enjoy hassle-free enrollment by providing your name and Aadhar number."
9,Does the CSC Shubhlabh Plan provide any protection for my family?,"Yes, the CSC Shubhlabh Plan provides a lump sum death benefit to the nominee in case of the life assured's untimely demise."
10,Is there flexibility in premium payments in CSC Shubhlabh Plan?,"Yes, you can choose to pay premiums as per your convenience during the year."
11,Why should I save for the future in CSC Shubhlabh Plan?,Saving helps you achieve your financial goals and provides a cushion against emergencies.
12,What are the benefits of saving systematically in CSC Shubhlabh Plan?,It helps in building a corpus systematically and ensures consistent growth over time.
13,What is the purpose of the IndiaFirst CSC Shubhlabh Plan?,To help you build savings conveniently while providing life cover and ensuring financial security for your family.
14,Is this CSC Shubhlabh Plan suitable for someone looking for long-term savings?,"Yes, it is ideal for long-term savings with the flexibility to pay premiums for 10 or 15 years."
15,Can I change my premium payment mode later in CSC Shubhlabh Plan?,"The CSC Shubhlabh Plan generally allows flexibility, but you should check specific terms and conditions for changes."
16,How is the account value of the CSC Shubhlabh Plan managed?,The account value grows through guaranteed interest additions during the CSC Shubhlabh Plan term.
17,What is a corpus in the context of this CSC Shubhlabh Plan?,A corpus refers to the total savings accumulated in your account over time.
18,Is there any life cover provided in this CSC Shubhlabh Plan?,"Yes, the CSC Shubhlabh Plan includes a life cover that pays out a death benefit in case of the life assured's demise."
19,How can I secure my family’s future with this CSC Shubhlabh Plan?,"By building savings and ensuring a death benefit payout, you secure your family's financial future."
20,What documents do I need to enroll in this CSC Shubhlabh Plan?,You need to provide your name and Aadhar number for enrollment.
,,"On maturity, you receive a lump sum amount that is the higher of the total premiums paid (including top-ups and less any partial"
21,What do you receive at the end of the CSC Shubhlabh Plan term?,"withdrawals) compounded at 1% per annum, or the accumulated account value."
,,"The maturity amount is calculated as the higher of the total premiums paid (including top-ups) compounded at 1% per annum, or the"
22,How is the maturity amount calculated in CSC Shubhlabh Plan?,accumulated account value.
23,How will the maturity amount be paid in CSC Shubhlabh Plan?,The maturity amount will be paid through a bank account using NEFT or RTGS.
,,"If the life assured dies while the CSC Shubhlabh Plan is active with life cover, a lump sum amount is paid to the nominee, appointee, or legal"
,,"heir. This amount is the higher of the sum assured, 105% of total premiums paid (including top-ups), total premiums paid compounded at"
24,What happens if the life assured dies while theCSC Shubhlabh Plan is in force with life cover?,"1% per annum, or the account value."
,,"If the life assured dies while the CSC Shubhlabh Plan is in paid-up status, a lump sum amount equal to the higher of the paid-up sum"
25,What happens if the life assured dies while the CSC Shubhlabh Plan is in paid-up status?,"assured or the accumulated account value is paid to the nominee, appointee, or legal heir."
26,What is the Premium Allocation Charge in the first year in CSC Shubhlabh Plan?,The Premium Allocation Charge in the first year is 20% of the annualized premium.
27,Is there a Premium Allocation Charge for Top-Up premiums in CSC Shubhlabh Plan?,"No, there is no allocation charge on Top-Up premiums."
28,What is the Fund Management Charge under the CSC Shubhlabh Plan?,The Fund Management Charge is not applicable.
29,What is the Mortality Charge under the CSC Shubhlabh Plan?,"The Mortality Charge is expressed in rupees per 1000 sum at risk, and it is guaranteed throughout the term."
30,Is there a Discontinuance Charge?,"No, there is no Discontinuance Charge."
31,Who bears the service tax under the CSC Shubhlabh Plan?,The service tax will be borne by the policyholder.
,,"Yes, you can cancel your CSC Shubhlabh Plan during the free look period, which is within the first 15 days from receiving your CSC"
32,Can you cancel your CSC Shubhlabh Plan during the free look period?,Shubhlabh Plan details.
33,What refund do you get if you cancel yourCSC Shubhlabh Planduring the free look period?,"You will receive a refund of the premium paid minus pro-rata mortality charge, medical fees (if any), and any stamp duty paid."
,What is the death benefit if the life assured commits suicide within 12 months from the CSC Shubhlabh Plan,
34,commencement?,"The death benefit payable will be limited to 80% of the total premiums paid, including any top-up premiums paid."
,,"If the life assured commits suicide within one year of reinstatement, the higher of 80% of total premiums paid or the account value will be"
35,What happens if the life assured commits suicide within one year of reinstatement?,paid.
,,"Section 41 prohibits offering or accepting rebates of commission or premium, except as allowed by the insurer’s published prospectuses or"
36,"What does Section 41 of the Insurance Act, 1938 prohibit?",tables.
,,Section 45 allows a policy to be called into question within three years from the policy issuance on grounds of fraud or misstatement. After
37,What are the consequences of making false or incorrect submissions according to Section 45?,"three years, the policy cannot be called into question except for fraud."
38,What is the shareholding pattern of IndiaFirst Life Insurance as of the latest update?,"The shareholding pattern is Bank of Baroda – 65%, Union Bank of India – 9%, and Carmel Point Investments India Private Limited – 26%."
,,"Exclusions include suicide, war, terrorism, criminal activity, poison, service in armed forces, participation in dangerous activities, and"
39,What exclusions apply to Accidental Death Benefit?,nuclear contamination.
154,How many premium payment modes are available for this CSC Shubhlabh Plan?,,3
,In how many years does the CSC Shubhlabh Plan policyholder have to complete before they can access their,,
155,funds?,,5 years
156,What is the minimum duration required to complete premium payments for this CSC Shubhlabh Plan?,,10 years
157,What is the maximum duration available for paying premiums in this CSC Shubhlabh Plan?,,15 years
,What percentage represents the guaranteed minimum interest added annually during the CSC Shubhlabh Plan,,
158,term?,,1%
159,How many key features are highlighted in the executive summary of this CSC Shubhlabh Plan?,,3 key features
160,How long is the mandatory holding period before any liquidity is provided by the CSC Shubhlabh Plan?,,5 years
161,What do you receive at the end of the plan term in CSC Shubhlabh Plan?,,Lump sum (higher of two options)
,What is the minimum compounding rate applied to total premiums for maturity value calculation in CSC Shubhlabh,,
162,Plan?,,1% per annum
163,What is the percentage of total premiums paid that could be part of the maturity payout in CSC Shubhlabh Plan?,105%
164,How much can you withdraw partially in any plan year as a maximum percentage of the Account Value?,25%
165,What is the minimum amount required for partial withdrawal in CSC Shubhlabh Plan?,"Rs 1,000"
166,How long after the plan inception can you make a partial withdrawal in CSC Shubhlabh Plan?,5 years
167,What is the minimum top-up premium allowed under the CSC Shubhlabh Plan?,Rs 500
168,What is the maximum percentage of top-up premium sum assured for entry age below 45 years?,125%
169,What is the maximum percentage of top-up premium sum assured for entry age 45 years and above?,110%
170,What is the grace period given for premium payment before discontinuance in CSC Shubhlabh Plan?,30 days
171,What is the revival period allowed if the CSC Shubhlabh Plan lapses?,2 years
,What percentage of the annualized premium is charged in the first policy year as Premium Allocation Charge in,
172,CSC Shubhlabh Plan?,20%
173,How much service tax is applicable on the CSC Shubhlabh Plan?,As per current tax laws
174,How many days are given for the free look period to cancel the CSC Shubhlabh Plan?,15 days
,What percentage of the total premium is refunded if the life assured commits suicide within 12 months of the CSC,
175,Shubhlabh Plan commencement?,80%
176,"What is the fine for accepting or offering a rebate in any form under the Insurance Act, 1938?",Up to Rs 500
177,How long after reinstatement is the death benefit limited if the life assured commits suicide?,1 year
178,What is the refund amount if you cancel your CSC Shubhlabh Plan within the free look period?,Premium paid minus deductions
,What is the percentage used for calculating the Paid-Up Sum Assured in CSC Shubhlabh Plan case the plan is,
179,converted to a Paid-Up Plan?,Depends on total premiums
180,What are the charges for Fund Management under this CSC Shubhlabh Plan?,Not applicable
181,What is the grace period provided for paying the premium after the due date in CSC Shubhlabh Plan?,30 days
182,How long is the revival period after the first 5 Plan Years in CSC Shubhlabh Plan?,2 years
,What is the maximum percentage of the annualized premium charged as Premium Allocation Charge in Year 1 in,
183,CSC Shubhlabh Plan?,20%
,What is the minimum percentage of the total premium paid that must be covered for Paid-Up Sum Assured in CSC,
184,Shubhlabh Plan?,(Sum Assured X (Total Premiums Paid / Total Premiums Payable))
185,What is the refund amount during the free look period in CSC Shubhlabh Plan?,Premium paid - Pro-rata mortality charge - Medical Fees - Stamp duty
,What percentage of the total premium paid will be refunded in case of suicide within 12 months from the,
186,commencement of risk in CSC Shubhlabh Plan?,80%
187,How many days is the free look period for canceling the CSC Shubhlabh Plan?,15 days
,What is the minimum percentage of the premium shown on the CSC Shubhlabh Plan that must be covered for,
188,rebates in CSC Shubhlabh Plan?,0% (Prohibited)
189,What is the charge for Fund Management under this CSC Shubhlabh Plan,Not Applicable
,What is the percentage of the annualized premium charged as Premium Allocation Charge from Year 2 onwards in,
190,CSC Shubhlabh Plan?,Nil
191,What is the maximum fine for defaulting on rebate provisions according to Section 41 in in CSC Shubhlabh Plan?,₹10 lakh
,What is the minimum refund amount for surrendering the plan in case of death within the first 12 months in in CSC,
192,Shubhlabh Plan?,80% of total premium paid
193,What is the charge for CSC Shubhlabh Plan administration?,Nil
,What is the maximum percentage of the total premium that will be refunded in case of misstatement or suppression,
194,of a material fact in in CSC Shubhlabh Plan?,100%
,What is the maximum period after which no policyn of life insurance shall be called into question in CSC Shubhlabh,
195,Plan?,3 years
Qno,Question,Answer
,,"Our IndiaFirst Life Term with Unit Linked Insurance Plan (TULIP) is a non-par, unit linked, individual savings life"
,,"insurance plan, specially designed to provide high life insurance coverage for those who want term like protection"
,,as well as maximize returns on their savings and create additional wealth for a comfortable life ahead. Rider cover
1,What is the IndiaFirst Life Term with Unit Linked Insurance Plan (TULIP)?,adds to the protection
,,"IndiaFirst Life TULIP combines investment in market-linked funds with substantial life insurance coverage, offering financial"
2,Why I need this policiy Term with Unit Linked Insurance Plan (TULIP)?,security and potential wealth creation for a lasting legacy and protection.
,,"The plan is available for individuals aged 18 to 65, with maturity up to 85 years. Policy terms are 15 or 20 years, with"
,,"premiums starting at INR 3,000 monthly. Sum assured varies by age and term, with death benefits based on multiples of the"
3,What are the basic eligibility criteria in thisTerm with Unit Linked Insurance Plan (TULIP)?,"premium. Premiums can be paid annually, semi-annually, quarterly, or monthly."
,,"In the event of the life assured's death while the policy is active, the nominee will receive the higher of: the fund value, the"
4,. What happens in case of the Life Assured’s demise (death benefit) in Term with Unit Linked Insurance Plan (TULIP)?,"sum assured (adjusted for recent withdrawals), or 105% of total premiums paid."
,,"In case of life assured’s untimely demise, the Nominee(s)/ Appointee/ Legal Heir will receive the death benefit,"
,,"where the sum assured will be reduced by an amount equal to the partial withdrawals made from fund value,"
5,What is the impact of partial withdrawals on death benefit in Term with Unit Linked Insurance Plan (TULIP)?,during the 2 years immediately preceding the date of death of the life assured.
6,What do I get at the end of the policy term (maturity benefit)in Term with Unit Linked Insurance Plan (TULIP)?,"You, the policyholder will receive the Fund Value, at the end of the policy term"
,,"On maturity, you can choose to receive the fund value as a lump sum, opt for periodic payments, or reinvest/extend the"
7,What are the payout options at the end of the policy term in Term with Unit Linked Insurance Plan (TULIP)?,policy.
,,"Your settlement period starts from the maturity date and is applicable up to a period of 5 years, as chosen by you."
8,When does the settlement period start in Term with Unit Linked Insurance Plan (TULIP)?,"However, you have to opt for the Settlement Option at least 3 months prior to the date of maturity."
,,"Yes,If the life assured dies during the settlement period, the nominee receives the higher of the fund value or 105% of total"
,,"premiums paid. Mortality and fund management charges will be deducted, and the policy terminates immediately. Life"
9,Does the life cover benefit continue during the settlement period in Term with Unit Linked Insurance Plan (TULIP)?,cover ceases upon complete withdrawal during this period.
10,Who bears the investment risk during the settlement period in Term with Unit Linked Insurance Plan (TULIP)?,The investment risk & inherent risk will be borne by the policyholder during the settlement period
,Are you allowed to make switches and partial withdrawals during the settlement period in Term with Unit Linked Insurance Plan,
11,(TULIP)??,"No, Switches and partial withdrawals are not allowed"
,,The policy returns both premium allocation and mortality charges to the fund value based on the policy term. For a 15-year
,,"term, 200% of premium allocation charges and 100% of mortality charges are returned. For a 20-year term, 500% of"
,,premium allocation charges and 100% of mortality charges are returned. These amounts are added in proportion to the
,,"fund value at the time of addition. If there have been partial withdrawals, the return amounts are reduced based on the"
12,What are the other benefits in your Term with Unit Linked Insurance Plan (TULIP)?,percentage of withdrawals relative to the fund value.
,,"The policy illustrates different scenarios based on age, premium payment term (PPT), policy term (PT), and fund values,"
,,"assuming investment returns of 4% and 8%. The benefits are based on the policy's performance, and returns are not"
13,How does this Term with Unit Linked Insurance Plan (TULIP)? work?,guaranteed.
,,"Mr. Kumar, aged 35, purchased the IndiaFirst Life Term with Unit Linked Insurance Plan with a 15-year term, paying"
,,premiums for 6 years and a sum assured of ₹30 lakhs. The policy includes additional riders for accidental death (₹90 lakhs)
,,"and total permanent disability (₹30 lakhs).Scenario 1: Survival till maturity If Mr. Kumar survives, he receives a fund value"
,,"between ₹7,13,479 and ₹11,18,289, depending on the assumed return rate (4% or 8%).Scenario 2: Death during the policy"
14,How does this Term with Unit Linked Insurance Plan (TULIP) explain with scenario ?,"termIn the event of Mr. Kumar’s death during the policy term, the nominee receives ₹30 lakhs."
,,Accidental Death In the event of death of the life assured during 100% of ADB Sum Assured will the term of the rider due to
,,"an accident, the be paid as lump sum nominee would receive a lump sum benefit equal to rider Sum Insured. This is an"
,What are Rider Benefits under this Term with Unit Linked Insurance Plan (TULIP)? with IndiaFirst Life Accidental Death Benefit,additional benefit
15,Rider ?,over the base policy benefit.
,,You will get the enhanced protection with riders available in the Plan. a. IndiaFirst Life Accidental Death Benefit Rider b.b.
16,What are Rider Benefits under this policy in Term with Unit Linked Insurance Plan (TULIP)?,IndiaFirst Life Total & Permanent Disability (TPD) Rider
,,Events How and when benefits are payable Size of such benefits-Total & permanent Benefit Payable on total and permanent
,,"disability 100% of TPD Sum Assured will Disability due to due to sickness/accident caused solely by external, be paid as lump"
,,sum.
,,"Sickness or an violent, unforeseeable, and visible means occurringAccident independently of any other causes should be"
,What are Rider Benefits under this policy with .IndiaFirst Life Total & Permanent Disability (TPD) Rider in Term with Unit Linked,"established between within 180 days of such trauma, proved to the satisfaction of the insurer, subject to conditions for"
17,Insurance Plan (TULIP)?,"Total and Permanent Disability, being met and acceptance of the claim by us."
,,IndiaFirst Life Term with Unit Linked Insurance Plan (TULIP) boasts of multiple options of investment strategies.
18,What are the different Investment Strategies Options in your policy in Term with Unit Linked Insurance Plan (TULIP)?,Self-Managed Strategy-AgeBased Investment Strategy-Smart Switch Strategies
,,"Equity1 (SFIN: ULIF009010910 EQUTY1FUND143) ,Balanced1 (SFIN: ULIF011010910 BALAN1FUND143) ,Debt1 (SFIN:"
,,"ULIF010010910 DEBT01FUND143) ,Value (SFIN: ULIF013010910 VALUEFUND0143), Index Tracker (SFIN: ULIF012010910"
,,"INDTRAFUND143) ,"
,,"Dynamic Asset Allocation Fund (SFIN: ULIF015080811 DYAALLFUND143) ,Liquid 1 Fund(SFIN:"
,,"ULIF014010910LIQUID1FND143),Flexi Cap Equity (SFIN: ULIF02121/02/22FLEXCAPFND143)Sustainable Equity (SFIN:"
19,What are the different Investment Fund Options in self management strategies in Term with Unit Linked Insurance Plan (TULIP)?,ULIF02221/02/22SUSTEQUFND143)
20,What are the charges under thisTerm with Unit Linked Insurance Plan (TULIP)??,"Fund Management Charge (FMC), Mortality Charge, Premium Allocation Charge, Partial Withdrawal Charge"
,,"If the policy is discontinued due to non-payment during the lock-in period, the fund value minus discontinuance charges is"
,,"moved to a discontinued policy fund, and coverage ceases. The policyholder has three years to revive the policy. If not"
,,"revived, the fund value is paid at the end of the revival or lock-in period, whichever is later. If no action is taken, the policy"
,,"remains without risk cover, and the fund is invested in the discontinued policy fund. The policyholder can also choose to"
21,What happens if you discontinue paying your premiums in Term with Unit Linked Insurance Plan (TULIP)??,"surrender the policy, with proceeds paid after the lock-in period or surrender date, whichever is later."
,,"If the policyholder revives the policy, it will restore risk cover and reallocate investments from the discontinued fund, minus"
,,applicable charges. Upon revival:
,,All overdue premiums are collected without additional fees.
,,"Premium allocation charges are applied for the discontinuance period, but no other charges are incurred. Riders can also be"
,,revived similarly.
22,How I can Revival the Discontinued Policy Term with Unit Linked Insurance Plan (TULIP) during lock-in period ?,Discontinuance charges deducted earlier are added back to the fund.
,,"After the lock-in period, if the policy is discontinued due to non-payment:"
,,"The policy converts to a reduced paid-up status, with the paid-up sum assured on death calculated based on premiums"
,,"paid. Rider coverage, if any, ceases."
,,The policyholder will be informed about the status and given options to:
,,"Revive the policy within three years, or"
,,Withdraw the policy completely.
,,"If the policyholder chooses to revive but does not do so within the revival period, the fund value will be paid out at the end"
,,of the period.
,,"If no action is taken, the policy remains reduced paid-up, and proceeds will be paid out at the end of the revival period, with"
,,the policy terminating.
23,How I can Revival the Discontinuance of the Policy Term with Unit Linked Insurance Plan (TULIP)after lock-in period ?,"The policyholder can also surrender the policy at any time, with proceeds payable after the lock-in period or surrender date."
,,"If the policyholder revives the policy, original risk cover is restored. Upon revival:"
,,All overdue premiums are collected without interest or fees.
,,"Premium allocation charges apply, and riders can be revived similarly."
24,How I can Revival the Discontinued Policy Term with Unit Linked Insurance Plan (TULIP) after lock-in period ?,No additional charges are applied.
,,"In caseofreducedpaiduppolicy,thechargeswillbeaddedbacktothefundvalueasperthefollowingcalculation For Policy Term - 15"
25,What is the treatment of return of charges if theTULIP acquires a reduced paid-up status?,Years & 20 Years
,,"Charges added back to the fund value include 100% of mortality charges and 200% of premium allocation charges, adjusted"
,,based on the number of premiums paid versus total premiums payable. Partial withdrawals reduce these amounts based on
26,What is the treatment of return of charges if the policy acquires a reduced paid-up status in 15 years in TULIP?,their percentage of the fund value.
,,"Charges added back include 100% of mortality charges, 200% of premium allocation charges (added at the end of the 15th"
,,"year), and 500% of premium allocation charges, all adjusted similarly to the 15-year term. Partial withdrawals also reduce"
27,What is the treatment of return of charges if the policy acquires a reduced paid-up status in 20years inTULIP ?,these amounts based on their percentage of the fund value.
,,"You have 30 days to review and return the policy for a refund, minus proportionate risk premium, stamp duty, and medical"
28,Can you cancel (free-look) your policy in Term with Unit Linked Insurance Plan (TULIP)?,costs.
,,"A 30-day grace period is allowed for quarterly, half-yearly, and yearly premiums, and 15 days for monthly premiums, with"
29,Is there a grace period for missed premiums in TULIP?,benefits continuing.
,,You have multiple options in the policy to ensure that it is exclusively built around your needs.Apart from different
,,"policy terms, premium payment terms, fund options and investment strategies to choose from, you can also use"
30,What are the flexibility options in TULIP?,"options likeSwitching,PartialWithdrawals,toensurethatyourfinancialplanningis insyncwithyourfinancialgoals"
,,You can move from one fund to another by switching your funds any number of times during the policy term.
,,Currently these switches are free of any charge. Policyholder is allowed to switch funds during minority of a life
31,What is Switching in Term with Unit Linked Insurance Plan (TULIP)?,assured. Un-used free switches cannot be carried forward to the next month/year
,,Under switching you may transfer some or all your units from one unit linked fund to another.Minimum switching amount
,,"INR 5,000"
32,Are there any limits for switching in Term with Unit Linked Insurance Plan (TULIP)?,Maximum switching amount Fund Value
,,You are allowed to make unlimited number of switches in a calendar month. These switches are currently free of
,,"charge. However, we reserve the right to introduce charges, subject to prior approval from IRDAI. This shall not"
33,What are the charges for switching between funds in Term with Unit Linked Insurance Plan (TULIP)?,exceed Rs.500 per transaction.
,,In case of any financial emergencies you can choose to withdraw from your accumulated funds by means of Partial
,,"Withdrawal. Your policy gives you the flexibility to access your money in case of any emergency, by withdrawing partially"
34,What are partial withdrawals? Are they allowed in Term with Unit Linked Insurance Plan (TULIP)?,only after the completion of your fifth policy year
,,"Minimum withdrawal amount INR 10,000 Limited Premium Maximum withdrawal amount up to 20% of the fund value at a"
35,Are there any limits on partial withdrawals in Term with Unit Linked Insurance Plan (TULIP)?,"time of partial withdrawal, only if your fund value after the withdrawal should is at least 110% of one full year premium."
,,You have the option of redirecting the premium from one Fund to another Fund by giving a written notice to us.
,,"Under premium redirection, you can redirect the future premiums towards a different fund or set of funds."
,,"However, under the premium redirection option your past allocation of premium does not change."
36,What is Premium Redirection in Term with Unit Linked Insurance Plan (TULIP)?,Premium redirections are free of charge currently.
,,"You can change premium frequency without charges, increase premium or policy terms (non-reversible), and decrease Sum"
37,What are the alterations allowed in the Term with Unit Linked Insurance Plan?,"Assured (with all premiums paid), subject to minimum limits, without altering premium amounts."
,,"Unit prices are calculated by dividing the sum of the market value of assets plus current assets, minus current liabilities and"
38,How do we value units in TULIP Term with Unit Linked Insurance Plan?,"provisions, by the number of units on the valuation date."
,,"Every premium (new business or renewal), is allocated into fund options as selected in the proposal form or through"
39,How are premiums allocated to units in TULIP Term with Unit Linked Insurance Plan?,"subsequent request or as per the investment strategy opted, after deducting allocation charges."
40,When and how does your premium get allocated to units in TULIP Term with Unit Linked Insurance Plan?,"The allotment of units to you, the policyholder will be done only after we receive the premium amount."
,,A discount is offered if you pay renewal premiums 1 to 12 months in advance within the same financial year. The discount
,,"rate is based on the 5-year G-Sec bond yield, rounded to the nearest 5 basis points. No discount applies if paid within 1"
41,"Do I get a discount on renewal premiums, if paid in advance Term with Unit Linked Insurance Plan (TULIP)?",month of the due date.
42,What are the Tax benefits under this Term with Unit Linked Insurance Plan (TULIP)?,Tax benefits on premiums and benefits may apply as per current laws. Consult a tax advisor for up-to-date information.
,,"Yes,Your policy carries investment risks. Fund performance and NAVs may fluctuate based on market conditions. IndiaFirst"
43,"Is your Term with Unit Linked Insurance Plan (TULIP) prone to risks? If yes, who bears the risk?","Life Insurance does not guarantee returns, and past performance does not indicate future results."
,,No. None of our funds offer a guaranteed or assured return. The fund names do not indicate the quality of the respective
44,Do you get guaranteed returns from any of the funds mentioned in your Term with Unit Linked Insurance Plan (TULIP)?,"funds, their future prospects or returns, in any manner"
45,Does the past performance of your policy guarantee future performance as well?,Thepastperformanceofourotherfundsdoesnotnecessarilyindicatethefutureperformanceofanyofthesefunds
,,In case of death due to suicide within 12 months from the date of commencement of the policy or from the date of
,,"revival of the policy, as applicable, the Nominee/ Appointee/ Legal Heir, as the case may be, shall be entitled to"
,,"the fund value, as available on the date of intimation of death."
,,Further any charges other than Fund Management Charges and guaranteed charges recovered subsequent to
46,What happens in case the life assured commits suicide in Term with Unit Linked Insurance Plan (TULIP)?,the date of death shall be added back to the fund value as available on the date of intimation of death.
